Provider Name,Address,City,County,JNJ Doses,Moderna Doses,Pfizer Doses,Week,Notes
Houston Methodist Clear Lake Hospital,,Houston,HARRIS,0,0,975,Week 1,
Ben Taub General Hospital,,Houston,HARRIS,0,0,1950,Week 1,
Houston Methodist West Hospital,,Houston,HARRIS,0,0,975,Week 1,
Houston Methodist Hospital,,Houston,HARRIS,0,0,5850,Week 1,
Chi St Lukes Health,,Houston,HARRIS,0,0,5850,Week 1,
Houston Methodist Willowbrook Hospital,,Houston,HARRIS,0,0,975,Week 1,
Memorial Hermann Katy Hospital,,Katy,HARRIS,0,0,975,Week 1,
HCA Houston Healthcare Southeast,,Pasadena,HARRIS,0,0,975,Week 1,
University Of Texas Medical Branch - Clear Lake,,Webster,HARRIS,0,0,975,Week 1,
Seton Medical Center Hays,,Kyle,HAYS,0,0,975,Week 1,
UT Health RGV Edinburg,,Edinburg,HIDALGO,0,0,1950,Week 1,
Doctors Hospital at Renaissance,,Edinburg,HIDALGO,0,0,5850,Week 1,
South Texas Health System Mcallen,,McAllen,HIDALGO,0,0,975,Week 1,
Rio Grande Regional Hospital,,McAllen,HIDALGO,0,0,975,Week 1,
Mission Regional Medical Center,,Mission,HIDALGO,0,0,1950,Week 1,
Hunt Regional Medical Center,,Greenville,HUNT,0,0,975,Week 1,
Christus Health St Elizabeth Hospital,,Beaumont,JEFFERSON,0,0,975,Week 1,
Baptist Hospitals of Southeast Texas,,Beaumont,JEFFERSON,0,0,975,Week 1,
The Medical Center Of Southeast Texas,,Port Arthur,JEFFERSON,0,0,975,Week 1,
Terrell State Hospital,,Terrell,KAUFMAN,0,0,975,Week 1,
Covenant Medical Center,,Lubbock,LUBBOCK,0,0,2925,Week 1,
UNIVERSITY MEDICAL CENTER LUBBOCK,,Lubbock,LUBBOCK,0,0,1950,Week 1,
Providence Health - Providence Health Center,,Waco,MCLENNAN,0,0,975,Week 1,
Baylor Scott White Med Ctr Hillcrest,,Waco,MCLENNAN,0,0,975,Week 1,
Midland Memorial Hospital,,Midland,MIDLAND,0,0,1950,Week 1,
Texas Childrens Hospital Woodlands,,Conroe,MONTGOMERY,0,0,975,Week 1,
Houston Methodist The Woodlands Hsptl,,Conroe,MONTGOMERY,0,0,975,Week 1,
Kingwood Medical Center,,Kingwood,MONTGOMERY,0,0,975,Week 1,
Memorial Hermann The Woodlands Hospital,,Spring,MONTGOMERY,0,0,1950,Week 1,
Christus Spohn Health System Shoreline,,Corpus Christi,NUECES,0,0,4875,Week 1,
Corpus Christi Medical Center,,Corpus Christi,NUECES,0,0,975,Week 1,
Northwest Texas Hospital Pharmacy,,Amarillo,POTTER,0,0,975,Week 1,
Texas Tech Health Science Center - Amarillo,,Amarillo,POTTER,0,0,975,Week 1,
Christus Mother Frances Hospital - Tyler,,Tyler,SMITH,0,0,975,Week 1,
UT Health Science Center Tyler,,Tyler,SMITH,0,0,3900,Week 1,
Medical City Arlington,,Arlington,TARRANT,0,0,975,Week 1,
Texas Health Huguley Hospital - Fort Worth South,,Burleson,TARRANT,0,0,975,Week 1,
Cook Childrens Medical Center,,Fort Worth,TARRANT,0,0,4875,Week 1,
Baylor Scott And White All Saints Medical Center - Fort Worth,,Fort Worth,TARRANT,0,0,975,Week 1,
Texas Health Harris Methodist Hospital Fort Worth,,Fort Worth,TARRANT,0,0,5850,Week 1,
JPS Main,,Fort Worth,TARRANT,0,0,1950,Week 1,
Cook Childrens Occupational Health Services,,Fort Worth,TARRANT,0,0,1950,Week 1,
Baylor Scott  White Hospital - Grapevine,,Grapevine,TARRANT,0,0,975,Week 1,
Hendrick Medical Center,,Abilene,TAYLOR,0,0,2925,Week 1,
Shannon Pharmacy,,San Angelo,TOM GREEN,0,0,1950,Week 1,
Seton Medical Center Austin,,Austin,TRAVIS,0,0,2925,Week 1,
Dell Childrens Medical Center Of Central Texas,,Austin,TRAVIS,0,0,1950,Week 1,
South Austin Medical Center,,Austin,TRAVIS,0,0,975,Week 1,
Dell Seton Medical Center At University Of Texas,,Austin,TRAVIS,0,0,1950,Week 1,
UT Health Austin Dell Medical School,,Austin,TRAVIS,0,0,2925,Week 1,
Austin State Hospital,,Austin,TRAVIS,0,0,975,Week 1,
North Austin Medical Center,,Austin,TRAVIS,0,0,975,Week 1,
St Davids Medical Center,,Austin,TRAVIS,0,0,975,Week 1,
Citizens Medical Center - Victoria 1,,Victoria,VICTORIA,0,0,975,Week 1,
Laredo Medical Center,,Laredo,WEBB,0,0,975,Week 1,
STAT Specialty Hospital,,Laredo,WEBB,0,0,1950,Week 1,
North Texas State Hospital,,Wichita Falls,WICHITA,0,0,975,Week 1,
United Regional Health Care System,,Wichita Falls,WICHITA,0,0,975,Week 1,
Round Rock Medical Center,,Round Rock,WILLIAMSON,0,0,975,Week 1,
Baylor Scott White Health MC Round Rock,,Round Rock,WILLIAMSON,0,0,975,Week 1,
Wise Health System,,Decatur,WISE,0,0,975,Week 1,
Brookshires Pharmacy 030,2107 S Loop 256,Palestine,ANDERSON,0,100,0,Week 2,
Christus Trinity Clinic Magnolia Medical Plaza,3201 South Loop 256,Palestine,ANDERSON,0,1400,0,Week 2,
Palestine Regional Medical Center,2900 S Loop 256,Palestine,ANDERSON,0,300,0,Week 2,
Lhd Andrews City-County Health Department Re,208 Nw 2nd St,Andrews,ANDREWS,0,100,0,Week 2,
PERMIAN REGIONAL MEDICAL CENTER,720 Hospital Dr,Andrews,ANDREWS,0,400,0,Week 2,
Brookshires Pharmacy 35 - Diboll,223 12 Temple Dr,Diboll,ANGELINA,0,400,0,Week 2,
Brookshires Pharmacy 52 - Huntington,104 N Main St,Huntington,ANGELINA,0,400,0,Week 2,
Brookshires Pharmacy 1,301 S Chestnut St,Lufkin,ANGELINA,0,500,0,Week 2,
Brookshires Pharmacy 25,1807 West Frank,Lufkin,ANGELINA,0,400,0,Week 2,
Chi St Lukes Hlth Memorial Lufkin,1201 W Frank Ave,Lufkin,ANGELINA,0,600,0,Week 2,
The Medicine Shoppe Pharmacy 0939,903 W Frank Ave,Lufkin,ANGELINA,0,200,0,Week 2,
Urgent Health Solutions,525 N Brentwood,Lufkin,ANGELINA,0,900,0,Week 2,
Woodland Heights Medical Center,505 S John Redditt Dr,Lufkin,ANGELINA,0,500,0,Week 2,
Texas Dads State Supportive Living Center Lufkin,6844 US 69,Pollok,ANGELINA,0,1100,0,Week 2,
Heb Pharmacy 562,1409 Highway 35 N,Rockport,ARANSAS,0,100,0,Week 2,
Eagle Pharmacy,700 S College Ave,Holliday,ARCHER,0,100,0,Week 2,
Claude Family Medical Clinic,201 Parks St,Claude,ARMSTRONG,0,100,0,Week 2,
HEB Pharmacy 19,19337 Mcdonald St,Lytle,ATASCOSA,0,100,0,Week 2,
HEB Pharmacy 411,219 W Oaklawn Rd,Pleasanton,ATASCOSA,0,100,0,Week 2,
Kings Medicine,809 N Bryant St,Pleasanton,ATASCOSA,0,500,0,Week 2,
QUC PLEASANTON LLC,2106 W OAKLAWN RD,Pleasanton,ATASCOSA,0,500,0,Week 2,
Brookshires Pharmacy 39 - Bellville,720 S Front St,Bellville,AUSTIN,0,500,0,Week 2,
KK Pharmacy,1411 W American Blvd,Muleshoe,BAILEY,0,100,0,Week 2,
Medical Clinic Of Muleshoe,708 S 1st St,Muleshoe,BAILEY,0,100,0,Week 2,
Medina Lake Clinic,146 Laurel Vista Dr,Pipe Creek,BANDERA,0,100,0,Week 2,
DSHS Bastrop,104 Loop 150 W,Bastrop,BASTROP,0,100,0,Week 2,
HEB Pharmacy 582,104 Hasler St,Bastrop,BASTROP,0,100,0,Week 2,
HEB Pharmacy 475,1080 Highway 290 E,Elgin,BASTROP,0,100,0,Week 2,
Seton Smithville Regional Hospital,1201 Hill Rd,Smithville,BASTROP,0,100,0,Week 2,
Seymour Hospital Rural Health Clinic,201 Stadium Dr,Seymour,BAYLOR,0,200,0,Week 2,
Christus Spohn Health System Beeville,1500 E Houston St,Beeville,BEE,0,200,0,Week 2,
Heb Pharmacy 412,100 E Houston St,Beeville,BEE,0,100,0,Week 2,
South Tx Family Plannng And Health Corp - Beeville,1400 W Corpus Christi St Ste 4,Beeville,BEE,0,100,0,Week 2,
HEB Pharmacy 39,2509 N Main,Belton,BELL,0,100,0,Week 2,
Freedom Urgent Care,300 W Central Texas Exwpy Ste 115,Harker Heights,BELL,0,100,0,Week 2,
Heb Pharmacy 381,601 Indian Trl,Harker Heights,BELL,0,100,0,Week 2,
Seton Medical Center Harker Heights,850 West Central Texas Expresswy,Harker Heights,BELL,0,600,0,Week 2,
HEB Pharmacy 581,2511 Trimmier Rd,Killeen,BELL,0,100,0,Week 2,
HEB Pharmacy 721,1101 W Stan Schlueter Lp,Killeen,BELL,0,100,0,Week 2,
Metroplex Health System,2201 S Clear Creek Dr,Killeen,BELL,0,1400,0,Week 2,
Brookshires Pharmacy 69 - Salado,215 Mill Creek Dr,Salado,BELL,0,500,0,Week 2,
HEB Pharmacy 182,3002 S 31st St,Temple,BELL,0,100,0,Week 2,
HEB Pharmacy 71,1314 W Adams,Temple,BELL,0,100,0,Week 2,
Premier ER Temple,7010 West Adams Ave,Temple,BELL,0,100,0,Week 2,
University Of Texas Medicine Hill Country,25723 Old Federicksberg Rd,Boerne,BEXAR,0,500,0,Week 2,
ASPG dba CHRISTUS Promptu Urgent Care,11823 Culebra Rd,San Antonio,BEXAR,0,1000,0,Week 2,
Bandera Family Health,7579 N Loop 1604 W Ste 100,San Antonio,BEXAR,0,100,0,Week 2,
Caritas Family Medicine PA,11901 Toepperwein Rd,San Antonio,BEXAR,0,100,0,Week 2,
Christus Childrens Hospital Of San Antonio,333 N Santa Rosa St,San Antonio,BEXAR,0,900,0,Week 2,
Christus Santa Rosa Family Health Center - San Antonio 1,11130 Christus Hills,San Antonio,BEXAR,0,200,0,Week 2,
Christus Santa Rosa Hospital Alamo Heights,403 Treeline Park,San Antonio,BEXAR,0,200,0,Week 2,
Davila Pharmacy,1423 Guadalupe,San Antonio,BEXAR,0,200,0,Week 2,
Endeavor Clinical Trials,8042 Wurzbach,San Antonio,BEXAR,0,300,0,Week 2,
Foundation Surgical Hospital Of San Antonio,9522 Huebner Rd,San Antonio,BEXAR,0,500,0,Week 2,
Gonzaba Medical Group Woodlawn Clinic,902 Bandera Rd,San Antonio,BEXAR,0,1000,0,Week 2,
Gruesbeck Medical Clinic Nw 24th St,323 Nw 24th Street,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 102,8503 Nw Military Hwy,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 106,1015 S Ww White Rd,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 108,20935 Us Hwy 281 N,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 164,15000 San Pedro Ave,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 178,6839 San Pedro Ave,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 189,2130 Culebra Rd,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 191,4821 Broadway St,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 195,11551 West Ave,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 205,721 Castroville Rd,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 211,415 N New Braunfels Ave,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 224,7951 Guilbeau Rd,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 230,14087 Oconnor Rd,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 235,9255 Fm 471 West,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 26,3524 S New Braunfels,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 262,5601 Bandera Rd,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 294,6580 Fm 78,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 372,1955 Nacogdoches Rd,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 384,6030 Montgomery,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 385,300 W Olmos Dr,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 389,6000 West Ave,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 395,12777 W Interstate 10,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 397,18140 San Pedro Ave,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 398,2929 Thousand Oaks Dr,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 427,735 Se Military Dr,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 444,3323 Se Military Dr,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 463,1150 N Fm 1604 W,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 466,108 N Rosillo St,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 480,9900 Wurzbach Rd,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 494,10660 Culebra Rd,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 556,2118 Fredericksburg Rd,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 566,24165 W Interstate 10 Ste 300,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 567,999 E Basse Rd,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 568,12018 Perrin Beitel Rd,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 585,1520 Austin Hwy,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 613,8231 Marbach Rd,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 618,5910 Babcock Rd,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 623,9238 N Loop 1604 W,San Antonio,BEXAR,0,100,0,Week 2,
Heb Pharmacy 647,8300 Floyd Curl Dr Ste 105,San Antonio,BEXAR,0,200,0,Week 2,
Heb Pharmacy 658,23635 Wilderness Oak,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 678,302 Valley Hi Dr,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 699,1601 Nogalitos St,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 732,17238 Bulverde Rd,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 733,12125 Alamo Ranch Pkwy,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 771,14325 Potranco Rd,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 84,6818 S Zarzamora St,San Antonio,BEXAR,0,100,0,Week 2,
HEB Pharmacy 85,10718 Potranco,San Antonio,BEXAR,0,100,0,Week 2,
Hormazd Sanjana MD,2277 NWMilitary 100,San Antonio,BEXAR,0,500,0,Week 2,
Methodist Specialty And Transplant Hospital,8026 Floyd Curl Dr,San Antonio,BEXAR,0,900,0,Week 2,
Methodist Stone Oak Hospital,1139 E Sonterra Blvd,San Antonio,BEXAR,0,600,0,Week 2,
Northeast Methodist Hospital,12412 Judson Rd,San Antonio,BEXAR,0,1000,0,Week 2,
Quality Urgent Care,318 W Loop 1604 N,San Antonio,BEXAR,0,900,0,Week 2,
Quality Urgent Care Of America,19422 Us Highway 281 N Ste 106,San Antonio,BEXAR,0,1000,0,Week 2,
SAFD Office of Medical Director,4522 Fredricksburg Rd,San Antonio,BEXAR,0,1600,0,Week 2,
Samhd Main Immunizations Clinic,210 N Mel Waiters Way,San Antonio,BEXAR,0,1100,0,Week 2,
San Antonio Arthritis Care Centers Pharm,8527 Village Drive,San Antonio,BEXAR,0,300,0,Week 2,
ShurMed Emergency Medical Service LLC,1535 Brady Blvd,San Antonio,BEXAR,0,2100,0,Week 2,
South Texas Allergy and Asthma Medical Proffession,341 E Hildebrand,San Antonio,BEXAR,0,500,0,Week 2,
Southwest General Hospital,7400 Barlite Blvd,San Antonio,BEXAR,0,300,0,Week 2,
Start Center For Cancer Care,4383 Medical Drive,San Antonio,BEXAR,0,300,0,Week 2,
Steven A Davis MD PA,7810 Louis Pasteur,San Antonio,BEXAR,0,300,0,Week 2,
Stone Oak Family Doctors PA,700 E Sonterra Blvd,San Antonio,BEXAR,0,200,0,Week 2,
Uhs Family Health Clinic,903 W Martin St Fl 4,San Antonio,BEXAR,0,1200,0,Week 2,
Uhs Naco Perrin Clinic,4020 Naco Perrin Blvd,San Antonio,BEXAR,0,100,0,Week 2,
Uhs North,302 W Rector St,San Antonio,BEXAR,0,2100,0,Week 2,
Uhs Southeast,1055 Ada St,San Antonio,BEXAR,0,2500,0,Week 2,
Uhs Southwest,2121 Sw 36th St,San Antonio,BEXAR,0,900,0,Week 2,
University Health System - Robert B Green Campus,903 W Martin St,San Antonio,BEXAR,0,1600,0,Week 2,
University Of Texas Medicine,8300 Floyd Curl Dr,San Antonio,BEXAR,0,2500,0,Week 2,
UT Health San Antonio Verde Hills PCC,10350 Bandera Rd Ste 140,San Antonio,BEXAR,0,200,0,Week 2,
Ut Health Shavano Park Pcc,14530 Nw Military Hwy  108,San Antonio,BEXAR,0,700,0,Week 2,
Ut Heath Westover Hills Clinic - San Antonio - 11212 State Hig   ,11212 State Highway 151 Suit 100 Sa Tx 7,San Antonio,BEXAR,0,1000,0,Week 2,
UT Medicine,3939 Medical Dr Ste 100,San Antonio,BEXAR,0,2000,0,Week 2,
Westover Hills Family Health,11212 State Highway 151 Plaza 1,San Antonio,BEXAR,0,500,0,Week 2,
Heb Pharmacy 555,910 Kitty Hawk Rd,Universal City,BEXAR,0,100,0,Week 2,
Clifton Medical Clinic,201 Posey Ave,Clifton,BOSQUE,0,500,0,Week 2,
Brookshires Pharmacy 100,9295 Hwy 6,Meridian,BOSQUE,0,100,0,Week 2,
Brookshires Pharmacy 72,210 N Mccoy Blvd,New Boston,BOWIE,0,100,0,Week 2,
Super 1 Pharmacy 618,2610 Richmond Rd,Texarkana,BOWIE,0,100,0,Week 2,
Adoue Community Health Network,1111 West Adoue,Alvin,BRAZORIA,0,100,0,Week 2,
BRAZORIA COUNTY HEALTH DEPT ALVIN,260 GEORGE ST,Alvin,BRAZORIA,0,300,0,Week 2,
Utmb-Angleton Danbury Campus,132 E Hospital Dr,Angleton,BRAZORIA,0,500,0,Week 2,
Freeport Community Health Network- 061447,905 N Gulf Blvd Ste 100,Freeport,BRAZORIA,0,100,0,Week 2,
CHI StLukes Health Brazosport,100 Medical Drive,Lake Jackson,BRAZORIA,0,500,0,Week 2,
HEB Pharmacy 707,97 Oyster Creek Dr,Lake Jackson,BRAZORIA,0,100,0,Week 2,
HEB Pharmacy 63,2805 Business Center Dr,Pearland,BRAZORIA,0,100,0,Week 2,
Heb Pharmacy 675,2710 Pearland Pkwy,Pearland,BRAZORIA,0,100,0,Week 2,
Internal Medicine Associates Of Houston,10970 Shadow Creek Pkwy,Pearland,BRAZORIA,0,200,0,Week 2,
Memorial Hermann Pearland Hospital,16100 South Fwy,Pearland,BRAZORIA,0,1600,0,Week 2,
Murtaza Mussaji DOPA,11021 Shadow Creek Pkwy,Pearland,BRAZORIA,0,300,0,Week 2,
Brookshires Pharmacy 1004,210 N Main St,Bryan,BRAZOS,0,500,0,Week 2,
Bryan Opco LLC DBA Legacy Nrsig and Rbltn,2817 Kent St,Bryan,BRAZOS,0,100,0,Week 2,
HEB Pharmacy 544,725 E Villa Maria,Bryan,BRAZOS,0,100,0,Week 2,
Heb Pharmacy 644,1609 N Texas Ave,Bryan,BRAZOS,0,100,0,Week 2,
St Joseph Hospital Meditech,2801 Franciscan Dr,Bryan,BRAZOS,0,2300,0,Week 2,
Chi St Joseph Health College Station Hospital,1604 Rock Prairie Rd,College Station,BRAZOS,0,300,0,Week 2,
Chi St Joseph Primary Care-Wd Fitch,2849 Barron Rd,College Station,BRAZOS,0,200,0,Week 2,
HEB Pharmacy 543,1900 Texas Ave S,College Station,BRAZOS,0,100,0,Week 2,
HEB Pharmacy 619,949 William D Fitch Pkwy,College Station,BRAZOS,0,100,0,Week 2,
HEB Pharmacy 746,11675 Fm 2154 Rd,College Station,BRAZOS,0,100,0,Week 2,
Family Health services of Alpine,406 S Summer st,Alpine,BREWSTER,0,400,0,Week 2,
HEB Pharmacy 200,800 S Saint Marys St,Falfurrias,BROOKS,0,100,0,Week 2,
Hendrick Medical Center Brownwood,1501 Burnett Rd,Brownwood,BROWN,0,600,0,Week 2,
Brookshires Pharmacy 44,455 Hwy 36 N,Caldwell,BURLESON,0,100,0,Week 2,
Brookshires Pharmacy 65,16800 Sh 36 South,Somerville,BURLESON,0,100,0,Week 2,
Ascension Seton HIghland Lakes,3201 S Water Street,Burnet,BURNET,0,200,0,Week 2,
Heb Pharmacy 433,105 S Boundary St,Burnet,BURNET,0,100,0,Week 2,
ATKINS PHARMACY SERVICES INC,701 THIRD ST,Marble Falls,BURNET,0,200,0,Week 2,
BSW Medical Center Marble Falls,810 Tx-71w,Marble Falls,BURNET,0,500,0,Week 2,
HEB Pharmacy 735,1503 Fm 1431,Marble Falls,BURNET,0,100,0,Week 2,
,403 S Colorado St,Lockhart,CALDWELL,0,100,0,Week 2,
Seton Edgar B Davis Hospital,130 Hays St,Luling,CALDWELL,0,200,0,Week 2,
Heb Pharmacy 434,101 Calhoun Plz,Port Lavaca,CALHOUN,0,100,0,Week 2,
Memorial Medical Center,815 N Virginia St,Port Lavaca,CALHOUN,0,300,0,Week 2,
United Pharmacy 578,505 S Access Rd W,Clyde,CALLAHAN,0,200,0,Week 2,
Brownsville Community Health Center,191 E Price Rd,Brownsville,CAMERON,0,100,0,Week 2,
Heb Pharmacy 263,1628 Central Blvd,Brownsville,CAMERON,0,100,0,Week 2,
Heb Pharmacy 332,2950 Southmost Rd,Brownsville,CAMERON,0,100,0,Week 2,
Heb Pharmacy 446,2155 Paredes Line Rd,Brownsville,CAMERON,0,100,0,Week 2,
HEB Pharmacy 489,2250 Boca Chica Blvd,Brownsville,CAMERON,0,100,0,Week 2,
Ronaldo Factoriza Md,680 Paredes Line Rd,Brownsville,CAMERON,0,300,0,Week 2,
Solara Specialty Hospital Brownsville,333 Lorenaly Drive,Brownsville,CAMERON,0,100,0,Week 2,
Valley Baptist Medical Center Brownsville,1040 W Jefferson St,Brownsville,CAMERON,0,900,0,Week 2,
Valley Regional Medical Center,A E Alton Gloor,Brownsville,CAMERON,0,600,0,Week 2,
Edinburg Regional Medical Center,1102 W Trenton Road,Edinburg,CAMERON,0,1400,0,Week 2,
AV Rehab LLC,2902 S 77 Sunshine Strip,Harlingen,CAMERON,0,100,0,Week 2,
Garcias Pharmacy LLC,101 S Stuart Place Rd,Harlingen,CAMERON,0,100,0,Week 2,
HEB Pharmacy 136,1213 S Commerce St,Harlingen,CAMERON,0,100,0,Week 2,
HEB Pharmacy 168,1103 Morgan Blvd,Harlingen,CAMERON,0,100,0,Week 2,
Heb Pharmacy 291,613 S Exp Hwy 83,Harlingen,CAMERON,0,100,0,Week 2,
Rio Grande State Center,1401 S Rangerville Rd,Harlingen,CAMERON,0,600,0,Week 2,
Stephanie H Garcia MD,5505 S Expressway 77,Harlingen,CAMERON,0,500,0,Week 2,
Ut Health Rgv Multispecialty,2106 Treasure Hills Blvd Ste 1326,Harlingen,CAMERON,0,500,0,Week 2,
Valley Baptist Family Practice Residency,2222 Benwood St,Harlingen,CAMERON,0,600,0,Week 2,
Port Isabel Health Clinic,202 2nd St,Port Isabel,CAMERON,0,200,0,Week 2,
HEB Pharmacy 626,1095 West Business Hwy 77,San Benito,CAMERON,0,100,0,Week 2,
Lhd Cameron County Health Department Re,1390 W Expressway 83,San Benito,CAMERON,0,200,0,Week 2,
